date,open,high,low,close,adj_close,volume,ticker,run_id,ingested_at_utc,source_name
2020-01-02,323.5400085449219,324.8900146484375,322.5299987792969,324.8699951171875,298.5786437988281,59151200,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-03,321.1600036621094,323.6400146484375,321.1000061035156,322.4100036621094,296.3177185058594,77709700,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-06,320.489990234375,323.7300109863281,320.3599853515625,323.6400146484375,297.4482421875,55653900,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-07,323.0199890136719,323.5400085449219,322.239990234375,322.7300109863281,296.61181640625,40496400,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-08,322.94000244140625,325.7799987792969,322.6700134277344,324.45001220703125,298.19268798828125,68296000,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-09,326.1600036621094,326.7300109863281,325.5199890136719,326.6499938964844,300.214599609375,48473300,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-10,327.2900085449219,327.4599914550781,325.20001220703125,325.7099914550781,299.3507080078125,53029300,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-13,326.3900146484375,327.9599914550781,325.9200134277344,327.95001220703125,301.4093322753906,47086800,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-14,327.4700012207031,328.6199951171875,326.8399963378906,327.45001220703125,300.94989013671875,62832800,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-15,327.3500061035156,329.0199890136719,327.260009765625,328.19000244140625,301.62994384765625,72056600,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-16,329.70001220703125,330.9200134277344,329.45001220703125,330.9200134277344,304.13909912109375,54050300,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-17,331.70001220703125,332.17999267578125,330.8500061035156,331.95001220703125,305.0857238769531,95846000,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-21,330.8999938964844,332.17999267578125,330.82000732421875,331.29998779296875,304.48834228515625,77742400,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-22,332.239990234375,332.95001220703125,331.1700134277344,331.3399963378906,304.5249938964844,48914900,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-23,330.6300048828125,332.1700134277344,329.4100036621094,331.7200012207031,304.87432861328125,51963000,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-24,332.44000244140625,332.5299987792969,327.3599853515625,328.7699890136719,302.1630859375,87578400,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-27,323.0299987792969,325.1199951171875,322.6600036621094,323.5,297.3195495605469,84062500,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-28,325.05999755859375,327.8500061035156,323.6000061035156,326.8900146484375,300.4352111816406,63834000,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-29,328.3800048828125,328.6300048828125,326.3999938964844,326.6199951171875,300.18707275390625,53888900,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
2020-01-30,324.3599853515625,327.9100036621094,323.5400085449219,327.67999267578125,301.1612243652344,75491800,SPY,batch_manual_01,2025-12-06 16:09:09.738833,yfinance
