date,ticker,year,month,day_of_week,open,close,high,low,volume,return_close_open,return_prev_close,volatility_20_days,run_id,ingested_at_utc
2020-01-02,GLD,2020,1,3,143.86000061035156,143.9499969482422,144.2100067138672,143.39999389648438,7733800,0.0006255827715056276,0.0,0.0,batch_001,2025-12-06 16:26:46.671433
2020-01-02,QQQ,2020,1,3,214.39999389648438,216.16000366210938,216.16000366210938,213.97999572753906,30969400,0.008209001006197602,0.0,0.0,batch_001,2025-12-06 16:26:34.794553
2020-01-02,SPY,2020,1,3,323.5400085449219,324.8699951171875,324.8900146484375,322.5299987792969,59151200,0.004110732945353691,0.0,0.0,batch_001,2025-12-06 16:26:20.697858
2020-01-03,GLD,2020,1,4,145.75,145.86000061035156,146.32000732421875,145.39999389648438,12272800,0.0007547211687928817,0.013268521727000326,0.0,batch_001,2025-12-06 16:26:46.671433
2020-01-03,QQQ,2020,1,4,213.3000030517578,214.17999267578125,215.47000122070312,213.27999877929688,27518900,0.0041255959279564835,-0.009159932239005575,0.0,batch_001,2025-12-06 16:26:34.794553
2020-01-03,SPY,2020,1,4,321.1600036621094,322.4100036621094,323.6400146484375,321.1000061035156,77709700,0.0038921409445340457,-0.007572233484322677,0.0,batch_001,2025-12-06 16:26:20.697858
2020-01-06,GLD,2020,1,0,148.44000244140625,147.38999938964844,148.47999572753906,146.9499969482422,14403300,-0.007073585519323071,0.010489502076611812,0.0,batch_001,2025-12-06 16:26:46.671433
2020-01-06,QQQ,2020,1,0,212.5,215.55999755859375,215.58999633789062,212.24000549316406,21655300,0.014399988511029412,0.006443201652833741,0.0,batch_001,2025-12-06 16:26:34.794553
2020-01-06,SPY,2020,1,0,320.489990234375,323.6400146484375,323.7300109863281,320.3599853515625,55653900,0.009828776280216679,0.0038150521769082513,0.0,batch_001,2025-12-06 16:26:20.697858
2020-01-07,GLD,2020,1,1,147.57000732421875,147.97000122070312,148.13999938964844,147.42999267578125,7978500,0.002710536536096852,0.003935150508558971,0.0,batch_001,2025-12-06 16:26:46.671433
2020-01-07,QQQ,2020,1,1,215.63999938964844,215.52999877929688,216.13999938964844,214.85000610351562,22139300,-0.0005101122735249041,-0.00013916672683544906,0.0,batch_001,2025-12-06 16:26:34.794553
2020-01-07,SPY,2020,1,1,323.0199890136719,322.7300109863281,323.5400085449219,322.239990234375,40496400,-0.0008977092353609009,-0.0028117773480448305,0.0,batch_001,2025-12-06 16:26:20.697858
2020-01-08,GLD,2020,1,2,148.49000549316406,146.86000061035156,148.61000061035156,146.13999938964844,22248500,-0.010977202656831603,-0.007501524641443713,0.0,batch_001,2025-12-06 16:26:46.671433
2020-01-08,QQQ,2020,1,2,215.5,217.14999389648438,218.13999938964844,215.16000366210938,26397300,0.007656584206424014,0.0075163324194438275,0.0,batch_001,2025-12-06 16:26:34.794553
2020-01-08,SPY,2020,1,2,322.94000244140625,324.45001220703125,325.7799987792969,322.6700134277344,68296000,0.0046758213730396375,0.005329536027487647,0.0,batch_001,2025-12-06 16:26:20.697858
2020-01-09,GLD,2020,1,3,146.07000732421875,146.02999877929688,146.41000366210938,145.44000244140625,10292300,-0.00027389979404239745,-0.005651653463197515,0.0,batch_001,2025-12-06 16:26:46.671433
2020-01-09,QQQ,2020,1,3,218.94000244140625,218.99000549316406,219.41000366210938,217.7100067138672,23547000,0.00022838700648683216,0.008473459122254612,0.0,batch_001,2025-12-06 16:26:34.794553
2020-01-09,SPY,2020,1,3,326.1600036621094,326.6499938964844,326.7300109863281,325.5199890136719,48473300,0.001502300186636658,0.006780649119067839,0.0,batch_001,2025-12-06 16:26:20.697858
